,Albuquerque,Anchorage,Baltimore,Billings,Birmingham,Charleston,Charlotte,Chicago,Detroit,Fargo,Houston,Jacksonville,Louisville,Manchester,Milwaukee,Minneapolis,Omaha,Philadelphia,Portland,Seattle,Wichita
65,150.0,5.0,87500.0,17333.0,0.0,8400.0,9700.0,25.0,130.0,12995.0,0.0,30.0,7995.0,0.0,125.0,11799.0,1.0,26500.0,300.0,120.0,200.0
66,28900.0,15000.0,15000.0,18888.0,0.0,7900.0,25.0,50.0,14500.0,495.0,0.0,250.0,12500.0,0.0,17000.0,19500.0,24000.0,24000.0,90000.0,0.0,200.0
67,125.0,290.0,120.0,18900.0,0.0,6800.0,25.0,1.0,12000.0,15625.0,0.0,900.0,24000.0,0.0,150.0,32055.0,1.0,3300.0,6000.0,0.0,47500.0
68,42500.0,200.0,21900.0,35000.0,0.0,6900.0,1000.0,50.0,64980.0,7900.0,0.0,100.0,50000.0,0.0,2500.0,16999.0,175.0,35.0,150.0,0.0,37500.0
69,4200.0,40000.0,3500.0,22990.0,0.0,8500.0,4500.0,400.0,30000.0,16195.0,0.0,55000.0,50000.0,0.0,25000.0,3500.0,50.0,12960.0,18000.0,0.0,39900.0
70,75000.0,24999.0,125.0,25000.0,0.0,2725.0,23500.0,230.0,2043.0,10995.0,0.0,50.0,28900.0,0.0,260.0,80.0,30.0,279000.0,79995.0,0.0,39900.0
71,55000.0,15000.0,10999.0,12990.0,0.0,11500.0,200.0,40.0,9000.0,2600.0,0.0,27000.0,42500.0,0.0,18000.0,55.0,16500.0,3995.0,60.0,0.0,39900.0
72,750.0,19995.0,18000.0,15000.0,0.0,70.0,100.0,1700.0,9500.0,17500.0,0.0,16000.0,29500.0,0.0,120.0,55650.0,31990.0,12.0,27995.0,0.0,40900.0
73,50.0,49900.0,28.0,6000.0,0.0,55000.0,25900.0,45.0,25.0,36000.0,0.0,30.0,11000.0,0.0,1.0,26448.0,397.0,1.0,700.0,0.0,44800.0
74,13500.0,1000.0,1500.0,9500.0,0.0,15000.0,6700.0,300.0,35.0,27500.0,0.0,125.0,45000.0,0.0,64500.0,18000.0,500.0,125.0,2200.0,0.0,6500.0
75,20000.0,28450.0,19500.0,57000.0,0.0,11000.0,725.0,400.0,8500.0,2500.0,0.0,599.0,325.0,0.0,750.0,50.0,55000.0,280.0,35500.0,0.0,6100.0
76,25500.0,225.0,50.0,62499.0,0.0,29250.0,10000.0,175.0,300.0,7000.0,0.0,27900.0,20400.0,0.0,150.0,14000.0,1.0,25100.0,15000.0,0.0,15900.0
77,49800.0,65000.0,11650.0,69995.0,0.0,8900.0,55000.0,75.0,6.0,30000.0,0.0,26850.0,14800.0,0.0,32000.0,74500.0,200.0,1000.0,125.0,0.0,17900.0
78,10.0,17500.0,9500.0,51499.0,0.0,13600.0,9990.0,20.0,8100.0,60000.0,0.0,28900.0,10000.0,0.0,26000.0,19556.0,1.0,950.0,32900.0,0.0,22400.0
79,19000.0,25.0,5500.0,7200.0,0.0,9500.0,200.0,25.0,50.0,18000.0,0.0,2770.0,86000.0,0.0,75376.0,6995.0,40.0,25450.0,350.0,0.0,22600.0
80,18495.0,69995.0,39995.0,14500.0,0.0,895.0,57000.0,1.0,400.0,39500.0,0.0,349.0,26000.0,0.0,1.0,19819.0,50.0,35.0,60.0,0.0,22900.0
81,29900.0,5900.0,28500.0,22000.0,0.0,5900.0,4250.0,10.0,16400.0,500.0,0.0,21500.0,12500.0,0.0,6500.0,9995.0,250.0,15500.0,180.0,0.0,100.0
82,50000.0,800.0,69.0,27000.0,0.0,12900.0,225.0,50.0,39000.0,18000.0,0.0,5900.0,16900.0,0.0,500.0,80.0,1600.0,17585.0,400.0,0.0,10000.0
83,3000.0,250.0,50.0,62499.0,0.0,1.0,104.0,125.0,65.0,23500.0,0.0,28750.0,1995.0,0.0,61000.0,600.0,415.0,9999.0,10.0,0.0,3000.0
84,8998.0,89000.0,49900.0,52650.0,0.0,1200.0,1100.0,80.0,75500.0,32200.0,0.0,50.0,12995.0,0.0,66995.0,2500.0,28999.0,3376.0,15.0,0.0,15000.0
85,11998.0,80.0,225.0,13998.0,0.0,18900.0,37870.0,1450.0,23000.0,25474.0,0.0,29900.0,300.0,0.0,120.0,64999.0,23999.0,2025.0,0.0,0.0,9950.0
86,795.0,200.0,43375.0,32999.0,0.0,25.0,9990.0,1.0,50.0,2700.0,0.0,7900.0,9500.0,0.0,1.0,7500.0,300.0,5250.0,0.0,0.0,8950.0
87,28998.0,26750.0,13895.0,69999.0,0.0,140.0,2500.0,28050.0,17000.0,10500.0,0.0,24995.0,8500.0,0.0,15000.0,40000.0,125.0,34500.0,0.0,0.0,14900.0
88,16998.0,29208.0,19995.0,27900.0,0.0,250.0,1500.0,15.0,115.0,1999.0,0.0,397.0,397.0,0.0,5500.0,10500.0,32999.0,8500.0,0.0,0.0,14950.0
89,17998.0,2000.0,75.0,25900.0,0.0,6950.0,8400.0,15.0,69980.0,18995.0,0.0,650.0,10.0,0.0,8995.0,79950.0,34999.0,4500.0,0.0,0.0,58000.0
90,18498.0,36999.0,75.0,13900.0,0.0,425.0,13500.0,50.0,23000.0,17995.0,0.0,800.0,700.0,0.0,5495.0,17999.0,33599.0,29250.0,0.0,0.0,10.0
91,26998.0,35000.0,34000.0,10.0,0.0,75000.0,10.0,350.0,69995.0,25000.0,0.0,27985.0,32000.0,0.0,14000.0,8990.0,200.0,27250.0,0.0,0.0,997.0
92,0.0,175.0,9750.0,124500.0,0.0,11000.0,16000.0,19999.0,2.0,11500.0,0.0,20.0,8500.0,0.0,18000.0,35000.0,50.0,57995.0,0.0,0.0,2100.0
93,0.0,34500.0,27300.0,25900.0,0.0,27100.0,120.0,50.0,15000.0,7950.0,0.0,75.0,75.0,0.0,29150.0,15000.0,25999.0,725.0,0.0,0.0,35000.0
94,0.0,35.0,997.0,49999.0,0.0,52500.0,2750.0,1700.0,15.0,6900.0,0.0,49000.0,96499.0,0.0,6800.0,120.0,45999.0,350.0,0.0,0.0,7129.0
95,0.0,12900.0,3500.0,69995.0,0.0,3500.0,65000.0,40.0,30.0,2700.0,0.0,42500.0,48500.0,0.0,2500.0,21995.0,36995.0,8500.0,0.0,0.0,15000.0
96,0.0,150.0,50.0,17500.0,0.0,92500.0,120.0,80.0,9000.0,34500.0,0.0,1500.0,23000.0,0.0,159900.0,80.0,34599.0,8999.0,0.0,0.0,2500.0
